일련번호,지역,업력,대출년도,대출금액(백만원),업종
1,전북,15년미만,2021,50,
2,전남,20년이상,2021,100,
3,인천,5년미만,2021,200,
4,인천,10년미만,2021,100,
5,인천,20년미만,2021,150,
6,경북,5년미만,2021,200,
7,경북,15년미만,2021,100,
8,경기,20년미만,2021,50,
9,경북,3년미만,2021,200,
10,경남,15년미만,2021,200,
11,경북,20년이상,2021,200,
12,경기,7년미만,2021,70,
13,인천,5년미만,2021,150,
14,대구,7년미만,2021,100,
15,대구,10년미만,2021,100,
16,경기,10년미만,2021,200,
17,경기,15년미만,2021,200,
18,경기,15년미만,2021,50,
19,경기,15년미만,2021,150,
20,충남,10년미만,2021,100,
21,인천,10년미만,2021,100,
22,경북,10년미만,2021,200,
23,충남,15년미만,2021,150,
24,전북,20년이상,2021,100,
25,경기,20년이상,2021,200,
26,경기,20년미만,2021,100,
27,경기,10년미만,2021,100,
28,전북,15년미만,2021,200,
29,경북,20년이상,2021,300,
30,강원,10년미만,2021,200,
31,경북,20년이상,2021,100,
32,경북,20년이상,2021,200,
33,대구,15년미만,2021,300,
34,경기,5년미만,2021,150,
35,경기,7년미만,2021,200,
36,충남,15년미만,2021,200,
37,경기,15년미만,2021,200,
38,경남,20년이상,2021,200,
39,광주,3년미만,2021,150,
40,경기,20년미만,2021,200,
41,경기,3년미만,2021,100,
42,제주,20년이상,2021,200,
43,제주,3년미만,2021,80,
44,강원,10년미만,2021,200,
45,전북,15년미만,2021,100,
46,경기,5년미만,2021,100,
47,경기,1년미만,2021,150,
48,전북,20년미만,2021,100,
49,경기,15년미만,2021,200,
50,경기,10년미만,2021,200,
51,울산,20년미만,2021,300,
52,광주,20년이상,2021,200,
53,울산,7년미만,2021,50,
54,경남,7년미만,2021,50,
55,경남,5년미만,2021,100,
56,울산,15년미만,2021,300,
57,충북,20년미만,2021,100,
58,인천,5년미만,2021,50,
59,대전,20년이상,2021,300,
60,대전,20년미만,2021,200,
61,충남,20년미만,2021,200,
62,경기,20년미만,2021,150,
63,경남,20년이상,2021,200,
64,인천,5년미만,2021,200,
65,경기,10년미만,2021,100,
66,경기,15년미만,2021,100,
67,경북,20년이상,2021,1000,
68,경기,20년이상,2021,150,
69,충북,10년미만,2021,200,
70,경기,3년미만,2021,300,
71,경기,5년미만,2021,100,
72,인천,20년미만,2021,150,
73,경기,20년이상,2021,100,
74,경북,15년미만,2021,200,
75,경기,5년미만,2021,100,
76,경기,3년미만,2021,50,
77,충북,20년이상,2021,200,
78,경기,20년이상,2021,100,
79,경남,20년이상,2021,500,
80,인천,20년이상,2021,150,
81,인천,10년미만,2021,80,
82,경기,20년이상,2021,130,
83,충북,20년이상,2021,200,
84,대전,15년미만,2021,200,
85,경기,15년미만,2021,200,
86,전북,7년미만,2021,200,
87,전북,20년이상,2021,200,
88,경기,20년이상,2021,300,
89,경남,10년미만,2021,200,
90,경기,5년미만,2021,50,
91,대구,5년미만,2021,100,
92,대구,15년미만,2021,100,
93,경기,10년미만,2021,100,
94,대구,20년이상,2021,100,
95,경기,20년이상,2021,200,
96,경남,15년미만,2021,200,
97,경기,10년미만,2021,100,
98,경남,20년미만,2021,200,
99,강원,10년미만,2021,250,
100,강원,20년이상,2021,100,
101,강원,15년미만,2021,200,
102,경기,20년미만,2021,200,
103,경기,15년미만,2021,70,
